,UnitID,Institution Name
1548,481438,Yeshiva Yesodei Hatorah
1549,487746,Yeshiva Zichron Aryeh
1552,491765,Yeshivas Emek Hatorah
1553,488101,Yeshivas Maharit D'Satmar
1558,401250,Yo San University of Traditional Chinese Medicine
1562,458575,Zaytuna College
76,201140,Athenaeum of Ohio
282,234915,City University of Seattle
969,243823,Parker University
89,449931,Averett University-Non-Traditional Programs
184,262086,Brandman University
270,437732,Chicago School of Professional Psychology - College of Nursing
521,225201,Hallmark University
558,198695,High Point University
834,127954,Montessori Education Center of the Rockies
51,458113,Antioch College AG
106,223117,Baptist Missionary Association Theological Seminary
306,388520,College of Biblical Studies-Houston
355,176770,Cox College
450,443049,Faith International University
546,101453,Heritage Christian University
568,129534,Holy Apostles College and Seminary
588,449348,Huntsville Bible College
720,135364,Luther Rice College & Seminary
865,127714,Nazarene Bible College
1163,417734,Southeast Missouri Hospital College of Nursing and Health Sciences
1306,206154,Tri-State Bible College
1308,414878,Trine University-Regional/Non-Traditional Campuses
1333,206279,Union Institute & University
237,199971,Carolina Christian College
315,448752,CollegeAmerica-Colorado Springs
317,448761,CollegeAmerica-Fort Collins
340,208488,Concordia University-Portland
437,124487,Epic Bible College
570,239743,Holy Family College
728,146825,MacMurray College
748,230940,Marlboro College
868,181376,Nebraska Christian College of Hope International University
913,174507,Northwestern Health Sciences University
1059,148335,Robert Morris University Illinois
1136,102058,Selma University
1221,230630,Stevens-Henager College
1223,446677,Stevens-Henager College
1226,477950,Stevens-Henager College
1448,392840,Watkins College of Art Design & Film
19,132842,Albizu University-Miami
25,200873,Allegheny Wesleyan College
27,217624,Allen University
33,142887,American Academy of Art
41,188854,American Musical and Dramatic Academy
46,217633,Anderson University
66,106306,Arkansas Baptist College
68,222877,Arlington Baptist University
74,188942,Associated Beth Rivkah Schools
94,128586,Bais Binyomin Academy
95,476601,Bais HaMedrash and Mesivta of Baltimore
98,449658,Bais Medrash Toras Chesed
120,476717,Be'er Yaakov Talmudic Seminary
123,444413,Beis Medrash Heichal Dovid
133,145619,Benedictine University
144,189273,Beth Hamedrash Shaarei Yosher Institute
158,110060,Bethesda University
161,139153,Beulah Heights University
172,217749,Bob Jones University
173,142090,Boise Bible College
177,164614,Boston Baptist College
187,198066,Brevard College
191,142522,Brigham Young University-Idaho
196,180878,Bryan College of Health Sciences
215,474890,California College San Diego-CollegeAmerica-Phoenix
232,162061,Capitol Technology University
251,183974,Centenary University
260,189857,Central Yeshiva Tomchei Tmimim Lubavitz
279,244233,City College-Fort Lauderdale
280,406547,City College-Gainesville
281,434539,City College-Miami
307,413617,College of Menominee Nation
316,103945,CollegeAmerica-Flagstaff
319,126678,Colorado College
323,112570,Columbia College Hollywood
329,459417,Compass College of Cinematic Arts
336,169363,Concordia University-Ann Arbor
352,177117,Cottey College
411,144883,East-West University
415,446233,Ecclesia College
428,104586,Embry-Riddle Aeronautical University-Prescott
429,426314,Embry-Riddle Aeronautical University-Worldwide
444,385619,Everglades University
447,184694,Fairleigh Dickinson University-Florham Campus
458,165802,Fisher College
494,202903,Gods Bible School and College
504,170000,Grace Christian University
506,461528,Grace College of Divinity
531,446640,Harrisburg University of Science and Technology
548,200785,Herzing University-Akron
549,140340,Herzing University-Atlanta
550,101365,Herzing University-Birmingham
551,459851,Herzing University-Brookfield
552,459842,Herzing University-Kenosha
553,240392,Herzing University-Madison
554,174154,Herzing University-Minneapolis
