UnitID,Institution Name,Published in-state tuition and fees 2019-20 (IC2019_AY),Published in-state tuition and fees 2018-19 (IC2018_AY),Published in-state tuition and fees 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),
150215,Christian Theological Seminary,,,,,,,,,
112127,Church Divinity School of the Pacific,,,,,,,,,
201858,Cincinnati Christian University,17638,17228,17028,16414,15966,15266,15266,15255,
201867,Cincinnati College of Mortuary Science,,,,20025,,,,,
244233,City College-Fort Lauderdale,14539,14539,13695,13098,13068,12782,15840,15020,
406547,City College-Gainesville,14539,14539,13695,13098,13068,12782,15840,15020,
434539,City College-Miami,14539,14539,13695,13098,13068,12782,15840,15020,
234915,City University of Seattle,,16973,16920,16748,,,14880,14440,
457697,City Vision University,6000,5600,5600,7000,6000,6000,6000,6000,
217873,Claflin University,17192,16854,16480,16158,15520,15010,15010,14528,
112251,Claremont Graduate University,,,,,,,,,
112260,Claremont McKenna College,56475,54405,52825,50945,49045,47395,45625,44085,
124283,Claremont School of Theology,,,,,,,,,
138947,Clark Atlanta University,23144,22186,21892,22396,21945,21334,21100,19830,
165334,Clark University,47200,45730,44400,43150,41940,40730,39550,38450,
153126,Clarke University,34670,33350,31950,30900,29940,28900,28000,26950,
211024,Clarks Summit University,26082,23890,23890,22510,21850,20250,19710,19030,
180832,Clarkson College,14040,13392,16290,15780,13904,13352,12880,12562,
190044,Clarkson University,51128,49444,47950,46132,44630,42530,40540,38610,
156417,Clear Creek Baptist Bible College,9620,9440,9020,7220,6792,6724,6436,5882,
133085,Clearwater Christian College,,,,,,17865,17125,16715,
169327,Cleary University,20550,20550,19700,17600,20000,19200,18720,18480,
202046,Cleveland Institute of Art,43305,42055,40655,39585,38487,37565,36509,35145,
202073,Cleveland Institute of Music,42006,41987,49146,49106,47565,46027,44039,43580,
177038,Cleveland University-Kansas City,14400,14800,14800,14840,9120,9120,9120,8340,
153144,Coe College,45580,44050,42430,41000,39080,37320,35730,34220,
217907,Coker University,30196,29548,28684,27624,26568,25536,24579,23640,
161086,Colby College,57280,55210,53120,50960,49120,47350,45760,44320,
182634,Colby-Sawyer College,43646,42398,41186,39450,38860,38040,37300,35810,
112446,Coleman University,,,20725,20725,20725,20800,20200,19600,
190080,Colgate Rochester Crozer Divinity School,,,,,,,,,
190099,Colgate University,58045,55870,53980,51955,49970,48175,46380,44640,
169442,College for Creative Studies,45815,44110,42460,40840,38950,37092,35710,34380,
439613,College of Biblical Studies,12400,12400,12400,12400,12400,12400,12350,12350,
388520,College of Biblical Studies-Houston,6955,6955,6946,6946,6946,6946,9801,9468,
413617,College of Menominee Nation,6200,6200,6200,6200,6200,6170,6170,6170,
193399,College of Mount Saint Vincent,40980,38180,37100,35130,22490,31290,30290,29170,
167394,College of Our Lady of the Elms,37000,35788,34578,33412,32280,31188,30132,29112,
174747,College of Saint Benedict,46460,45264,43738,42271,40846,39402,37926,36218,
181604,College of Saint Mary,20750,20350,19950,29954,28964,27984,26934,25214,
231077,College of St Joseph,,18520,24000,22650,21900,21200,21100,20600,
160959,College of the Atlantic,43542,43542,43542,43542,42084,40491,38952,37701,
166124,College of the Holy Cross,54740,52770,50630,48940,47176,45692,44272,43400,
178697,College of the Ozarks,19660,19360,19130,18930,18730,18530,18330,18330,
174932,College of Visual Arts,,,,,,,,25761,
126669,Colorado Christian University,33434,31866,30370,29360,27986,26430,25046,23870,
126678,Colorado College,58086,55470,52818,50892,48996,46410,44222,41892,
367839,Colorado Heights University,,,8706,8706,7146,6546,5634,5166,
177065,Columbia College,23498,22704,21936,20936,8240,7465,7115,6739,
217934,Columbia College,19890,19500,19500,28900,28100,27350,26800,26030,
144281,Columbia College Chicago,27756,27176,26474,25334,24344,23544,22792,21730,
112570,Columbia College Hollywood,24495,24495,24495,21105,21105,18975,18804,18795,
238573,Columbia College of Nursing,,,,,,,,,
217925,Columbia International University,24000,23690,22390,21490,20430,19480,18930,18745,
139348,Columbia Theological Seminary,,,,,,,,,
190150,Columbia University in the City of New York,61788,59430,57208,55056,53000,51008,49138,47246,
202170,Columbus College of Art and Design,36750,35420,34440,32880,32710,30390,30390,29022,
177083,Conception Seminary College,22873,22379,21526,20706,20304,19530,18436,17734,
190248,Concordia College,34600,32900,31600,30530,29700,28775,28095,27520,
101073,Concordia College Alabama,,,10320,10320,10320,10320,8090,8090,
173300,Concordia College at Moorhead,41566,39878,38378,36878,35464,34114,32814,30860,
177092,Concordia Seminary,,,,,,,,,
150288,Concordia Theological Seminary,,,,,,,,,
224004,Concordia University Texas,32860,31810,30600,29260,28160,26960,25880,23600,
169363,Concordia University-Ann Arbor,30205,29290,28420,27710,26910,25160,23563,22664,
144351,Concordia University-Chicago,32880,32078,31588,30630,29520,28718,27598,26476,
112075,Concordia University-Irvine,36740,35400,34100,32780,31690,30640,29630,28500,
180984,Concordia University-Nebraska,33490,32220,31000,28480,27110,25950,24750,23800,
208488,Concordia University-Portland,32230,31158,30270,29390,28510,27420,27492,26650,
173328,Concordia University-Saint Paul,22800,22275,21750,21250,20750,20250,19700,29700,
238616,Concordia University-Wisconsin,30352,29450,28600,27900,27100,26160,25160,24180,
128902,Connecticut College,56890,54820,52850,50940,49350,47740,46085,44890,
217961,Converse College,19890,18340,17680,17000,16500,16500,29124,28276,
165495,Conway School of Landscape Design,,,,,,,,,
184153,Cooper Health System Center for Allied Health Education,,,,,,,,,
190372,Cooper Union for the Advancement of Science and Art,46700,46700,45100,43850,42650,41400,41400,40250,
210331,Corban University,33040,33040,31640,30640,29640,28640,27431,26431,
131308,Corcoran College of Art and Design,,,,,,,31130,31130,
153162,Cornell College,43976,42299,40880,39900,38700,37500,36430,34705,
190415,Cornell University,57222,55188,52853,50953,49116,47286,45358,43413,
170037,Cornerstone University,25360,24500,27520,26860,26100,25112,24168,23260,
